packed_designation,a_au,e,i_deg,w_deg,W_deg,M_deg
G8700,39.35346389380605,0.2305116236643938,4.991077553867355,49.80522196123573,154.733309379881,26.84766895469962
G8703,39.78577601505583,0.07514552277733992,4.916716130994612,220.6966775163785,23.37124970646062,358.5311506771144
G9071,39.28396959210717,0.1915937583000077,5.637335967773736,336.1267123319617,287.5256165423324,346.6155592896765
H5113,38.95809416427277,0.06760688110636201,13.35555177632093,84.29015366797901,84.5979139152399,174.2566449319071
K8996,39.46982810137489,0.1790371855481614,13.56477408047544,15.11587757401284,252.0297627805269,236.5185744744733
O1097,40.36444867218081,0.7762384677739314,15.68524318392993,348.4165233612403,187.0554623424309,21.6805317157068
U6792,39.50192409492384,0.1564526948478749,15.61626056578188,64.7845541248981,248.4832032204232,334.2994926399743
U7261,41.73922203124969,0.1452410406829857,17.69321420555612,214.5749139466824,216.0746369967489,225.3083049537823
U7463,39.14846547720006,0.2093338531818203,1.369449787857745,280.7575302893536,267.9007638250473,280.6535602232587
V5530,41.77754911245307,0.1390913198018095,27.4048704598816,57.78324617775619,14.89983402756589,54.41480351009737
Y1520,39.21435151219036,0.2644324599922976,11.28226824796516,205.3463480617484,196.7035406219582,6.82380969698055
c5185,39.19902747053786,0.1970705737728832,3.714392103204008,188.4771967140397,170.3131739371521,35.65685740802602
c5191,41.30602062452981,0.0257092517712572,12.73342711022247,18.33274525577908,163.7519312253955,193.8022824793121
c5445,39.42371936416064,0.1499964227859408,3.662759387004349,266.4199237628849,286.7617371430363,131.6012265950579
g7614,40.09896041698978,0.05404358543293733,23.91372598660628,66.87965411683435,99.84813150180192,253.715765127359
h8028,39.40969447113402,0.2794157326422548,3.134048292781538,300.9376030039309,226.1592280389174,33.39879023226823
i4745,39.34794122140076,0.1833512357166247,15.08051235433565,122.8367447442414,207.495103884346,301.1448835691932
j0265,39.18552788118328,0.2554986782734191,4.145542909499936,100.5310665120746,10.37799149157342,0.4960294528983838
j5502,39.2312917934034,0.2230763655675711,12.04452028420298,145.4716711702914,136.0305871723044,117.0139202774934
j6826,39.32852313152591,0.2763238019083076,28.5392930117254,312.7617552956881,96.35137589741197,22.01976073685454
k9362,39.55583080513639,0.2825392846387133,17.51828095078499,52.9190026926921,223.0060503006765,356.2851534393232
k9372,39.37684517316348,0.1111364932639061,22.3517897826985,42.19224810324204,164.1841781642109,162.0133825762204
k9421,39.39077388160234,0.1100599970137685,18.09945892012296,110.4282229485685,106.679034530463,289.854637297353
k9506,39.50407271854117,0.2148275605168674,1.911078731407867,170.3902292610328,91.73084584775634,354.3561287804613
k9615,40.5461132775287,0.05772102364547118,26.11989525510139,19.70540451910218,320.9347970755455,1.152160612582079
k9704,39.43308613847823,0.1501834138854778,1.773814224609244,212.4208921479934,24.40607500061241,342.5506097074727
k9707,39.42936043309565,0.235574863949814,14.68639294214887,349.2493235087194,217.0789990555512,27.4969413852976
k9708,39.32923722727686,0.3246174255060625,18.25095313806052,85.90234309692299,205.4029099140666,345.3874140833022
k9987,39.43873050037067,0.3024360258626563,12.45023167222498,102.2103671642331,222.5631466332566,317.3320555677017
