Packed MPC designation,Semimajor axis au barycentric,Eccentricity barycentric,Inclination ecliptic J2000 barycentric degrees,Longitude of ascending node ecliptic J2000 barycentric degrees,Argument of perihelion ecliptic J2000 barycentric degrees,Mean anomaly ecliptic J2000 barycentric degrees,Epoch JD,Barycentric element source
D3067,39.55380790044276,0.2573467409057322,8.884074002974451,209.4932643705808,305.0168902194798,60.40738881024082,2459580.5,JPL Horizons via Astroquery
D4340,39.48862584519749,0.2490133663377271,17.14072936520548,110.3010167010042,113.7726475225366,46.78790886411515,2459580.5,JPL Horizons via Astroquery
D9775,39.34971568127711,0.1929303758364952,6.489603677395106,162.5359445715752,209.2171494439654,16.16782680310203,2459580.5,JPL Horizons via Astroquery
G8700,39.35346389380605,0.2305116236643938,4.991077553867355,154.733309379881,49.80522196123573,26.84766895469962,2459580.5,JPL Horizons via Astroquery
G9071,39.28396959210717,0.1915937583000077,5.637335967773736,287.5256165423324,336.1267123319617,346.6155592896765,2459580.5,JPL Horizons via Astroquery
K8996,39.46982810137489,0.1790371855481614,13.56477408047544,252.0297627805269,15.11587757401284,236.5185744744733,2459580.5,JPL Horizons via Astroquery
U6792,39.50192409492384,0.1564526948478749,15.61626056578188,248.4832032204232,64.7845541248981,334.2994926399743,2459580.5,JPL Horizons via Astroquery
U7463,39.14846547720006,0.2093338531818203,1.369449787857745,267.9007638250473,280.7575302893536,280.6535602232587,2459580.5,JPL Horizons via Astroquery
Y1520,39.21435151219036,0.2644324599922976,11.28226824796516,196.7035406219582,205.3463480617484,6.82380969698055,2459580.5,JPL Horizons via Astroquery
c5185,39.19902747053786,0.1970705737728832,3.714392103204008,170.3131739371521,188.4771967140397,35.65685740802602,2459580.5,JPL Horizons via Astroquery
c5445,39.42371936416064,0.1499964227859408,3.662759387004349,286.7617371430363,266.4199237628849,131.6012265950579,2459580.5,JPL Horizons via Astroquery
h8028,39.40969447113402,0.2794157326422548,3.134048292781538,226.1592280389174,300.9376030039309,33.39879023226823,2459580.5,JPL Horizons via Astroquery
i4745,39.34794122140076,0.1833512357166247,15.08051235433565,207.495103884346,122.8367447442414,301.1448835691932,2459580.5,JPL Horizons via Astroquery
j0265,39.18552788118328,0.2554986782734191,4.145542909499936,10.37799149157342,100.5310665120746,0.4960294528983838,2459580.5,JPL Horizons via Astroquery
j5502,39.2312917934034,0.2230763655675711,12.04452028420298,136.0305871723044,145.4716711702914,117.0139202774934,2459580.5,JPL Horizons via Astroquery
j6826,39.32852313152591,0.2763238019083076,28.5392930117254,96.35137589741197,312.7617552956881,22.01976073685454,2459580.5,JPL Horizons via Astroquery
