packed_designation,a_au,e,i_deg,w_deg,W_deg,M_deg
j6826,39.32852313152591,0.2763238019083076,28.5392930117254,312.7617552956881,96.35137589741196,22.01976073685454
k9362,39.55583080513639,0.2825392846387133,17.51828095078499,52.9190026926921,223.0060503006765,356.2851534393232
k9372,39.37684517316348,0.1111364932639061,22.3517897826985,42.19224810324204,164.1841781642109,162.0133825762204
k9421,39.39077388160234,0.1100599970137685,18.09945892012296,110.4282229485685,106.679034530463,289.854637297353
k9506,39.50407271854117,0.2148275605168674,1.911078731407867,170.3902292610328,91.73084584775634,354.3561287804613
k9704,39.43308613847823,0.1501834138854778,1.773814224609244,212.4208921479934,24.40607500061241,342.5506097074727
k9707,39.42936043309565,0.235574863949814,14.68639294214887,349.2493235087194,217.0789990555512,27.4969413852976
k9708,39.32923722727686,0.3246174255060625,18.25095313806052,85.90234309692299,205.4029099140666,345.3874140833022
k9987,39.43873050037067,0.3024360258626563,12.45023167222498,102.2103671642331,222.5631466332566,317.3320555677017
n1767,39.48947308115016,0.0769740925845044,30.12517384906191,314.6484381537052,65.51290138583379,22.83961130333791
o0833,39.37201989373911,0.1037165295452013,6.942081737111665,352.2128957711687,204.435819634385,25.48052535837056
o0834,39.17021174891764,0.1785256378888355,9.87822136714483,12.12755992047917,44.98990154234787,166.2793157260581
o0883,39.37061174400407,0.2554211640028416,19.81497605919436,273.8804715325041,214.8933199748446,97.32004407281724
o0884,39.41574660788219,0.2565629938006386,20.04629599268581,186.4095786892158,83.10186451467102,355.5317187472911
o0885,39.29280990663889,0.23100693453091,7.250614614259727,25.42185143721652,145.7157671219914,60.9247420485288
o3858,39.40216385454245,0.28428523115496,11.94157857652496,346.0664037722918,228.8732357619417,42.45242018865835
o4555,39.40643701866635,0.2425396525692494,18.79739780211366,172.7677819152891,158.7520133952205,46.40339387301048
o8823,39.33659200192836,0.2962283439420007,19.24553023669207,240.0037756863321,20.56382771232132,108.4685883949645
q3618,39.39453569033298,0.22927100053083,12.92544095032222,275.5750650220679,82.24263330194894,36.32911816154663
q3644,39.4494031048679,0.2855254272513675,22.30489389708493,292.3388962864386,170.5587838358639,350.3826821611282
q3655,39.62073175335772,0.1925335031932552,9.533702123957369,120.744350975453,12.79055855210184,351.4820929871062
q3697,39.36452858405646,0.2931955277466559,16.18754579175945,22.03904839446918,137.2902494535995,40.62416056604452
q3700,39.46538663649743,0.3880380544087048,54.24969486742543,72.4752973332471,159.8812129774536,24.95689824261569
q3701,39.2903779619794,0.2409876245197683,14.45718368620656,172.7213361077295,73.51074510354609,357.8431598244379
q3703,39.58189476833752,0.2265882212642495,14.7471576507548,132.5773400937272,109.8299894332838,0.6230208228108137
q3704,39.4295773718993,0.2416299413326893,8.985860031287427,186.4028476481526,39.68140203046855,3.187834256674824
q3715,39.59939038475906,0.1386678834654758,6.188188931677269,102.1240629230045,61.98925478856864,54.20108025624877
q3717,39.37224230291385,0.1996817879763328,9.66582701792659,91.82097958084812,96.2766854697505,50.87819697190574
q3751,39.5484752813755,0.225598081157134,15.26249056654197,265.935788500464,167.1617430986128,2.914426495863097
