packed_designation,vtx,vty,vtz
q3644,-0.9825058477774269,0.18600648780316728,-0.009156723119641122
q3655,-0.8954990875993164,-0.4433237961405849,-0.03931152355598662
q3697,0.6798098001582427,-0.7330430005806351,0.02250766332940045
q3700,0.8862350676380479,0.029776907203772268,-0.46227777438025563
q3701,0.7870170294532828,-0.5698960490432309,-0.23626825566598209
q3703,0.9232835172515538,-0.3283710242544012,-0.19929881384924394
q3704,0.8497645917069314,-0.5061366307849141,-0.14739691197188481
q3715,0.7533444191698068,-0.6491621301663221,-0.10516993326816229
q3717,0.9522654862551703,-0.262202136920216,-0.15633452300012302
q3751,-0.9949563282826311,0.09387366195204794,0.03535025321066579
q3760,-0.9297235060567932,-0.3638111665363404,0.05705819300443347
q3764,-0.9928806847114591,-0.10758840633569319,-0.051114388865074634
q3766,-0.931382273351301,0.2594613313394543,-0.25535637533948563
q3768,-0.4118333686777227,-0.8242877627586632,-0.3885137843241558
q4216,-0.5874072187524533,0.8014249793669781,-0.11256447842968025
q4460,0.8941067903551982,-0.44549951433252877,-0.04586098745345953
q5258,-0.6409196757678189,0.7367101019006405,0.21559265982686304
q9938,-0.709521500555751,0.697845720798393,0.0979315588178123
r0838,-0.8246512323302551,0.5635725796669657,-0.0483352093583261
r1077,0.35693038386462,-0.9219915279202613,-0.15010770638950188
r2092,0.9356934215293369,-0.31790169267051854,0.15302396774342886
r3209,0.21473826837168553,-0.9636064660208722,-0.15921700518316387
r3562,0.912182323346562,-0.3970166940536016,-0.10149459895392172
r4161,-0.9463350722953252,0.30038746480743206,0.11923632806475315
r4315,-0.7183777601410599,0.6772268338758566,0.1590509642007773
r5024,-0.7937536842780025,0.4208717735039918,0.43911506346594564
r5029,-0.9577243394167918,0.2867893494065048,-0.022714725524720154
r5032,-0.9438184533499498,0.2980024646515336,0.14283297300595563
r5167,-0.9115083872517672,0.3940429127089402,-0.11782462778866364
r5168,-0.9910003049483342,0.10532987153892008,-0.0826075889607197
r5229,-0.877598689262572,-0.3564785238925143,-0.3205364294554205
r5231,-0.7668208979726034,-0.6391617109256423,-0.05880491237214651
s3435,0.7584647760330187,-0.5583593064260598,-0.336104252345299
s7616,-0.6490176691845077,0.7072895257910745,-0.2802099066638188
t2679,0.8611298550887925,-0.5026819582521624,-0.07593564066054176
t5758,0.6274501742840035,-0.6759403277627712,0.38653712899918324
t5916,0.784400434940634,-0.4919981161539474,0.377695394949304
t6067,0.9580501806940525,-0.2836350614933805,-0.0411218088578255
t6068,0.806839079697464,0.5281558907824282,-0.26469237711873966
t6130,0.89851911754531,-0.43761435867444387,0.03401570942303765
u0039,0.6660028300186476,-0.7310134643758025,0.14852456129691155
v5713,-0.7623056978494129,0.6152450906931196,0.20090669825651536
v6257,0.9200597451383725,-0.3217054529969803,0.22359710840688587
v8834,0.8191196256376103,-0.5733431595472196,-0.01790699013548922
v8992,0.8351318888983033,-0.5491040143735852,-0.032241425898461254
v8993,0.7167461510967119,0.6189203379364651,-0.3212671321138554
v9246,0.9169761319314477,-0.36663924669860165,-0.15725913724907076
x1486,-0.604085171446248,0.7968855138077258,-0.007388066198523571
x4994,-0.24548014330296625,0.9691973494319539,-0.019899675827255436
z2029,0.9760363736705324,-0.21585125946860984,0.02759041605144018
z2045,-0.20121597864187293,0.9761369988890864,-0.08166204344125354
z2060,0.9299903371597734,-0.35640229996216993,0.08997429283482179
z2088,0.4827943734880681,-0.8694898454557078,-0.10438870426283285
z2102,-0.5834237896131806,0.81111219185146,-0.04139678663031285
z2158,0.9072319683658149,-0.3530358015464677,0.2286829210971644
z2208,-0.8686524200980881,-0.4938894765393333,-0.03893787386899841
z2218,0.9732462435818968,0.22755368355794697,-0.03179733405392467
z2241,-0.37434443640448717,0.9266188248512577,-0.03526749727838934
z2332,-0.9982037569195151,-0.059839173392486664,-0.002921129827522872
z2351,0.9949197336123411,0.04247259714783948,-0.09127322805875607
z2352,0.9201304717317901,-0.39051626788261684,0.029273870766709793
z2533,-0.9747591052134832,-0.22179052653282103,0.025566563001376844
z2547,0.7662131490605669,-0.6356486977097457,-0.09417081982543174
z2574,-0.35879264319575216,0.9321110646674255,-0.0493639778904023
z2581,-0.3152839622065984,0.9406428661248463,-0.12564641492594603
z2621,-0.34828538141406473,0.9280667777048022,-0.1318686817022321
z2658,-0.8858962783053274,-0.22127988508298058,-0.40770454564847974
z2688,-0.9863203397179313,0.013733904584379529,-0.16426675659905035
z2772,0.8965380072873507,-0.3974872673309331,0.19550824483641005
z2952,0.44726976488887454,-0.8806581367185813,-0.15617619424101573
z3620,-0.8836139988503445,0.3943141254461385,-0.2524731104679283
J98U43R,-0.9908821394305187,-0.06608714383599178,0.11740985979549984
J98W31S,-0.9982586726329543,0.045435732084607605,0.03761936686106874
J98W31V,-0.9407284723482061,0.3248688229940626,0.09741760189956629
J98W31Z,-0.9718349460548158,-0.16500991287071007,0.16825149711379686
K00CA5K,-0.49677852887154833,-0.8562970493464197,-0.14130271240438175
K00F08B,0.4270082353399679,-0.9012739772288612,-0.07327472225752266
K00QM6H,-0.2163705651492472,0.9752512539908932,0.045483734743153495
K01FH2U,0.8425448245464116,-0.39794594861989724,-0.3629838021276801
K01K76Y,0.9359272827628038,0.3461482945733289,-0.06497291392734846
K01V71N,-0.9161112954434745,-0.3079789461803507,0.2566886500617428
K02CP1E,0.6360572752673466,-0.7665566646696518,-0.08844219824279659
K02G31W,0.23225302559308098,-0.9718951724631028,0.038448743097470296
K02G32E,0.8247311315689834,-0.518116833189928,0.22665724737185158
K02G32L,0.8366952420657507,-0.5408915449802366,-0.08589184171635657
K02G32R,0.9350883133079433,-0.3518247441491646,0.04276909771412743
K02GG6H,0.8683303380264328,-0.4863075350503955,-0.09750592503078605
K02TU1H,-0.8443789118304614,0.5353021314138894,0.02181470512643077
K02VD0X,-0.9730568741087317,0.22989199843707298,-0.017606498923785716
K02VD8D,-0.919361556465123,0.393002452231554,-0.0179833543592862
K03FC7L,0.10237759901248265,-0.9940239892648852,-0.03788318870373016
K03H57A,0.8017741598946793,-0.46767000421651556,0.3720792438195198
K03H57F,0.7892390099505018,-0.6135868620291349,-0.024757784989594623
K03SV7O,-0.4584683014914001,0.8821978209455219,-0.10739562955057072
