resonant_des,ePh,qPh_au,tpPh_jd,WPh_deg,wPh_deg,iPh_deg
K03SV7O,0.277660495075664,28.46433933775341,2443510.438517332,187.3014424096149,111.9176916393381,6.568898132162335
K03UT2V,0.2172481302563444,30.80503023394695,2442721.2553723766,235.6677397051183,121.6965412288289,10.97825983248286
K03WJ1A,0.2356668432622095,30.04689556647617,2450807.386138502,179.1701951485537,226.170770817042,4.517924808214356
K03WJ3O,0.2416460841360409,29.77123411222423,2446367.4516593344,112.9262893251896,221.5295598732385,6.629894523411589
K04E95V,0.1833051143213505,32.23991712479386,2428982.200699038,192.1766051123303,255.1991975011055,12.285849982658
K04E96J,0.243420727895446,30.15527626871879,2463334.155400642,18.73870898292155,231.1251146748169,9.3190358026702
K04FG4W,0.1555735437621859,33.30324050170705,2453554.631178204,197.9988234238009,2.767587975916994,9.13340424931219
K04H78X,0.1578009786844147,33.40871065774282,2455883.4124069186,228.9426680824342,18.55988366891596,16.24273968632436
K04H78Y,0.2019782521954254,31.61630070915524,2455597.3119071275,25.17958455673103,193.640546147933,12.55919415598532
K04H78Z,0.1559091237729447,33.65793656726515,2460806.090001345,25.75455044506127,219.180043428227,13.28051995860091
K04H79A,0.2446884759519427,29.89265670658507,2435655.0516616968,203.2393292966414,264.0865071181423,22.64356687250275
K04H79B,0.2332011882450206,30.34018628049366,2459931.737171099,62.64920382885203,187.65604329709,2.657815088488738
K04K19B,0.2175633599820178,31.0502526180055,2472470.804624694,43.9569718698727,285.0026753319704,17.11714376549948
K04K19C,0.2419257414625793,30.00399671014643,2455533.592156104,240.60386062874,6.259608566701367,5.62695255778134
K04M08S,0.2982734021101185,27.65973359824749,2451684.2342148465,288.3200860846838,344.7903219415618,12.2522868841444
K04U10S,0.220315746891038,30.89155257972436,2455710.882065159,14.11179230138434,7.685989126045714,10.29505785654854
K04V75Z,0.1942626699148466,31.69442681110436,2478614.718413328,168.7584149265205,13.45510212221707,4.467244926813104
K04VD0V,0.1927150526163034,32.02108335872428,2458651.0650250004,46.4449060416493,29.41836521898226,23.91100616611347
K04VD0X,0.2060873994943839,31.19455386779245,2441799.0850076373,44.42925109893863,290.4459380115389,5.757313490887812
K04VD0Y,0.2732444949861587,28.47101856233436,2453410.04991385,222.3776274698381,180.5539559496424,10.2215469320118
K04VD0Z,0.2793652856801964,28.39361884706877,2449379.412716848,40.07881764849686,334.1220704348007,11.60028185808439
K05C81D,0.1529639798348346,33.21378808101928,2499156.996832458,317.8793100213138,1.348350541201245,21.38010322502471
K05EV8X,0.227175761388507,30.70795581887371,2445377.504814026,100.0867714924298,28.09856489090474,6.654052506721294
K05GI7A,0.2185261566258045,30.95659770444728,2471856.462104254,27.71693148864689,282.0498428624823,18.71728397138559
K05GI7F,0.2522487014240867,29.40774918153336,2459975.3184757675,128.8412860396112,134.8073980136904,3.908408340990731
K05GL0V,0.1678722062967815,32.72104424782777,2430063.7761177216,174.7699153463607,260.7651212941003,12.00866197708744
K05TI9V,0.1846880584390664,31.97249253328535,2454108.0875126533,246.2817684095845,185.1319879400631,34.46354567981416
K05VC3A,0.2542968823268545,29.55020414781234,2443097.91692754,39.71124066506623,317.5776788741127,1.512636805447396
K06HC2T,0.1628684768734285,33.00360689580894,2435593.3406528067,171.5390517876072,318.9299544499533,7.201331854616487
K06TC1K,0.2479882734064092,29.48607101910139,2466898.875506274,174.2482832948752,295.6368626225972,27.26992366716493
K06TD0P,0.2703856140445015,28.5361626704442,2472687.910769576,8.528398853600054,110.5804434357534,4.937169082543051
K06WJ5S,0.236889662656747,30.19828241359079,2437280.8139902577,62.55719232306973,233.0421494056638,32.70619140401183
K07J45F,0.089062945904604,35.84475312654966,2436295.25022141,176.1699667164157,342.3045999453684,11.00987889826519
K07Th1V,0.231486228423266,30.26979007506425,2456845.485040715,44.38794030202957,3.073632976418663,1.808418591907219
K09DE3N,0.1974277619168437,31.53797481731877,2461678.341814363,95.11946847903774,129.7253096001258,10.56251829216797
K09J18Z,0.2527394436138553,29.60227199401794,2459976.106378193,37.18907273763494,175.7845583608787,23.81637855210843
K09J19E,0.3035374561099036,27.53478640434482,2465757.145755224,144.5324947586267,117.5713887446285,22.19380745777584
K09Y26T,0.1775235492179174,32.4003480977584,2458264.212022501,85.06689069880319,21.78971035103965,10.19207090082873
K10AF3V,0.2604483370676924,29.35504093872492,2456163.746691368,268.2227026220129,215.1249530562015,7.909456297874097
K10ED9L,0.0692657245083779,36.80878501294594,2450406.5098613454,330.9782274240126,209.7928356033195,22.96674610934256
K10LD6B,0.2682682177238093,28.99674104606965,2458215.439975881,132.5006575627579,158.5555390627451,14.06761457078599
K10RJ0K,0.1964186703390571,31.65277711676672,2413072.081367419,340.3274115722204,213.3957277906128,6.654004241523841
K10S41B,0.278350244349422,28.40549102216826,2458414.598928796,139.6380391007611,249.088044973435,5.227509901767657
K10TI2J,0.2767089576104015,28.69885149323399,2459120.000801332,232.6725555277193,170.9279951213315,9.4971347652642
K10TI2N,0.145125208367759,34.00791735620275,2441510.1416113502,27.45963140867265,284.5082937276733,13.28321042567827
K10TJ5S,0.1228894648355586,34.53772976302056,2457234.228817929,182.1994119127329,220.8452402286026,15.52847164649713
K11HA4N,0.2952067507899043,27.84170255933974,2452959.013306272,161.3270801730026,53.67388534729982,17.48839110900729
K11Uf0P,0.1806881743775304,32.67626370549799,2460859.28098996,241.8106691878392,178.7332286242547,2.726115077645674
K11Uf0Q,0.2673989608671771,29.0710863682083,2449176.6020898805,10.80516606445414,336.363436241831,3.243712547911998
K11Uf0R,0.2731924939443535,28.84687990565764,2462533.3504906995,27.04440630673099,49.86804465417601,17.29949295825173
K11Uf0S,0.2557217386424755,29.54785983240534,2443037.082479825,20.56780418291375,291.498235301912,11.86304607332706
K11Uf0U,0.2685345358892121,28.96249919543484,2456710.3713148427,19.31963580999599,15.56427253558046,12.60906453392293
K11Uf0V,0.2644633612006017,29.22648710306796,2452022.2146008257,332.1605329961433,30.70045411809057,4.308064163427828
K11Uf0W,0.2182114495919932,31.12176513500511,2439697.337725634,17.89265871103993,286.8931593647872,10.73638939711759
K11Uf0X,0.3294213932532365,26.59224518021356,2470174.485717866,223.9845125990331,262.5925912210498,17.44105148908109
K11Uf0Z,0.124890060973834,34.77939480088965,2438650.154595634,298.5538516611708,10.86696598333127,3.832068294006986
K11Uf1A,0.2503016253706297,29.63074300011273,2457998.770739944,238.0080746519608,167.4280180120136,8.629589894650294
K11Uf1D,0.2879384660056438,28.07445394251184,2476956.8226988604,19.05700818018851,130.8480470671295,15.67452364650959
K12F87N,0.2583745983595201,29.38513691054018,2460381.420462792,74.0310240411323,160.1992847489932,20.64134037634663
K12TW4D,0.1363349742456437,33.93655073960246,2444051.2569914027,114.7135241412285,190.5141237734736,9.580480433493516
K12UH7G,0.2299092218451585,30.47256473477609,2456481.1025594114,261.9536398921104,130.5690835616193,21.85031818212397
K12W37F,0.291310723907395,27.90544787908794,2464139.9831121606,173.6959158336231,275.4232188155764,19.03778231010768
K12XF9W,0.2094528490495431,31.26190874366484,2454731.3942419183,146.6507405585209,274.5701173107083,20.96592224670551
K12Y12G,0.2172140014364534,30.93626177098644,2468881.808120199,114.5298858688476,30.01609264470708,30.88715505830546
K13CM3D,0.2193327563368464,30.89827193906462,2413179.3789577493,73.56279161549527,260.9972116367379,5.275454631575076
K13F28D,0.1845792248848236,32.45567087490145,2434222.2483825902,251.1324598712676,202.372280298498,6.853388339460538
K13GD7E,0.2586267784918649,29.19925155892468,2449573.4184762826,31.383760315493,136.5001349776152,3.865466433558047
K13GD7F,0.1598280331317653,33.26276510595075,2441291.378394396,35.78529990977529,101.5581861015389,14.68794214153424
K13GD7G,0.1371859296671892,33.95934240589842,2447874.9583436893,96.02093834105972,73.41026086863789,2.392798618944846
K13GD7H,0.2295350446413835,30.41735487529354,2452089.6790933586,35.73722732090495,152.1178796157882,13.47185617938667
K13GD7J,0.2652189506709262,29.00409534416211,2465106.791588618,42.48453788869095,230.6255470589165,16.88260787578092
K13GD7L,0.1982014170282245,31.45094292809912,2466944.768656192,44.48719218607516,234.9973985963803,10.44654433562491
K13GF8N,0.2067658911578172,31.2657677495687,2439707.522158304,205.3920989130839,281.644068285319,10.78174697918086
K13HF6W,0.2456731939357715,29.91988895892591,2447081.505714264,125.8947407819053,35.08625289838886,9.932026180365158
K13J64Z,0.2313920333325877,30.25507715840438,2458196.068539752,117.0694081683286,130.1595359097965,10.1364788200159
K13J65A,0.1478830219763332,33.62091398832816,2453647.752743711,177.1023593924524,45.09071105723145,10.22115005797369
K13J65B,0.1878710604452608,31.96036321570472,2456723.366308466,72.43985238747639,165.9165601718129,24.93089860047412
K13J65C,0.2946065129495891,27.76533065753637,2453532.05663069,87.13685241399826,127.0459116588871,16.42901399254228
